幹部姓名,職位,可面試時間
人資 A,人資,"7/1 11:00 - 12:00, 7/14 7:00 - 8:00, 7/8 17:00 - 18:00, 7/13 11:00 - 12:00, 7/13 20:00 - 21:00, 7/1 19:00 - 20:00, 7/2 11:00 - 12:00, 7/5 19:00 - 20:00, 7/4 19:00 - 20:00, 7/13 20:00 - 21:00, 7/4 16:00 - 17:00, 7/13 11:00 - 12:00, 7/9 17:00 - 18:00, 7/6 17:00 - 18:00, 7/12 20:00 - 21:00, 7/12 6:00 - 7:00"
人資 H,人資,"7/13 10:00 - 11:00, 7/7 8:00 - 9:00, 7/10 15:00 - 16:00, 7/2 7:00 - 8:00, 7/1 20:00 - 21:00, 7/13 18:00 - 19:00, 7/9 8:00 - 9:00, 7/10 15:00 - 16:00, 7/1 20:00 - 21:00, 7/13 6:00 - 7:00, 7/7 16:00 - 17:00, 7/9 6:00 - 7:00, 7/6 10:00 - 11:00, 7/13 7:00 - 8:00, 7/3 14:00 - 15:00, 7/1 15:00 - 16:00"
人資 O,人資,"7/2 15:00 - 16:00, 7/13 15:00 - 16:00, 7/11 11:00 - 12:00, 7/7 11:00 - 12:00, 7/14 6:00 - 7:00, 7/5 11:00 - 12:00, 7/6 13:00 - 14:00, 7/4 20:00 - 21:00, 7/3 18:00 - 19:00, 7/4 12:00 - 13:00, 7/13 8:00 - 9:00, 7/14 6:00 - 7:00, 7/1 19:00 - 20:00, 7/7 19:00 - 20:00, 7/11 7:00 - 8:00, 7/7 6:00 - 7:00, 7/12 10:00 - 11:00, 7/2 15:00 - 16:00"
公關 E,公關,"7/11 18:00 - 19:00, 7/2 6:00 - 7:00, 7/14 14:00 - 15:00, 7/13 11:00 - 12:00, 7/6 11:00 - 12:00, 7/13 7:00 - 8:00, 7/9 11:00 - 12:00, 7/9 18:00 - 19:00, 7/14 14:00 - 15:00, 7/6 11:00 - 12:00, 7/9 15:00 - 16:00, 7/10 6:00 - 7:00, 7/6 15:00 - 16:00, 7/3 20:00 - 21:00, 7/13 9:00 - 10:00, 7/3 10:00 - 11:00, 7/11 6:00 - 7:00"
公關 L,公關,"7/12 18:00 - 19:00, 7/2 19:00 - 20:00, 7/10 17:00 - 18:00, 7/6 10:00 - 11:00, 7/6 15:00 - 16:00, 7/12 19:00 - 20:00, 7/12 17:00 - 18:00, 7/9 12:00 - 13:00, 7/4 12:00 - 13:00, 7/8 13:00 - 14:00, 7/8 13:00 - 14:00, 7/6 6:00 - 7:00, 7/8 13:00 - 14:00"
學術 C,學術,"7/6 10:00 - 11:00, 7/1 14:00 - 15:00, 7/1 19:00 - 20:00, 7/9 8:00 - 9:00, 7/6 19:00 - 20:00, 7/1 11:00 - 12:00, 7/12 11:00 - 12:00, 7/10 16:00 - 17:00, 7/12 14:00 - 15:00, 7/1 15:00 - 16:00, 7/1 7:00 - 8:00, 7/11 9:00 - 10:00, 7/2 19:00 - 20:00, 7/13 16:00 - 17:00"
學術 J,學術,"7/8 11:00 - 12:00, 7/5 18:00 - 19:00, 7/5 15:00 - 16:00, 7/12 10:00 - 11:00, 7/1 10:00 - 11:00, 7/10 19:00 - 20:00, 7/5 11:00 - 12:00, 7/13 15:00 - 16:00, 7/5 16:00 - 17:00, 7/6 18:00 - 19:00, 7/4 7:00 - 8:00, 7/2 15:00 - 16:00"
技術 F,技術,"7/1 14:00 - 15:00, 7/6 13:00 - 14:00, 7/3 19:00 - 20:00, 7/6 19:00 - 20:00, 7/1 13:00 - 14:00, 7/1 12:00 - 13:00, 7/12 18:00 - 19:00, 7/14 8:00 - 9:00, 7/6 6:00 - 7:00, 7/2 13:00 - 14:00, 7/3 11:00 - 12:00, 7/12 8:00 - 9:00, 7/13 15:00 - 16:00, 7/5 19:00 - 20:00"
技術 M,技術,"7/2 10:00 - 11:00, 7/11 20:00 - 21:00, 7/7 14:00 - 15:00, 7/14 9:00 - 10:00, 7/3 13:00 - 14:00, 7/2 7:00 - 8:00, 7/11 16:00 - 17:00, 7/8 7:00 - 8:00, 7/8 7:00 - 8:00, 7/10 11:00 - 12:00, 7/14 15:00 - 16:00, 7/1 13:00 - 14:00, 7/4 14:00 - 15:00, 7/9 19:00 - 20:00, 7/9 8:00 - 9:00"
活動 G,活動,"7/3 10:00 - 11:00, 7/11 10:00 - 11:00, 7/12 12:00 - 13:00, 7/13 18:00 - 19:00, 7/13 6:00 - 7:00, 7/14 13:00 - 14:00, 7/7 11:00 - 12:00, 7/9 18:00 - 19:00, 7/8 19:00 - 20:00, 7/3 6:00 - 7:00, 7/12 13:00 - 14:00, 7/13 15:00 - 16:00, 7/10 13:00 - 14:00, 7/1 14:00 - 15:00, 7/6 11:00 - 12:00, 7/6 6:00 - 7:00"
活動 N,活動,"7/3 7:00 - 8:00, 7/3 11:00 - 12:00, 7/5 14:00 - 15:00, 7/9 16:00 - 17:00, 7/12 18:00 - 19:00, 7/2 10:00 - 11:00, 7/12 11:00 - 12:00, 7/11 17:00 - 18:00, 7/12 10:00 - 11:00, 7/5 16:00 - 17:00"
社長 B,社長,"7/2 15:00 - 16:00, 7/3 8:00 - 9:00, 7/12 6:00 - 7:00, 7/3 18:00 - 19:00, 7/12 20:00 - 21:00, 7/3 17:00 - 18:00, 7/6 10:00 - 11:00, 7/12 20:00 - 21:00, 7/2 7:00 - 8:00, 7/6 15:00 - 16:00"
社長 I,社長,"7/7 11:00 - 12:00, 7/5 7:00 - 8:00, 7/1 19:00 - 20:00, 7/11 17:00 - 18:00, 7/5 20:00 - 21:00, 7/12 17:00 - 18:00, 7/8 9:00 - 10:00, 7/14 18:00 - 19:00, 7/1 18:00 - 19:00, 7/6 12:00 - 13:00, 7/8 15:00 - 16:00, 7/3 14:00 - 15:00"
財務 D,財務,"7/2 14:00 - 15:00, 7/1 17:00 - 18:00, 7/6 15:00 - 16:00, 7/4 17:00 - 18:00, 7/14 16:00 - 17:00, 7/3 15:00 - 16:00, 7/2 7:00 - 8:00, 7/11 9:00 - 10:00, 7/6 16:00 - 17:00, 7/5 10:00 - 11:00, 7/14 19:00 - 20:00, 7/3 14:00 - 15:00, 7/1 15:00 - 16:00"
財務 K,財務,"7/1 8:00 - 9:00, 7/6 10:00 - 11:00, 7/10 11:00 - 12:00, 7/14 17:00 - 18:00, 7/1 17:00 - 18:00, 7/4 16:00 - 17:00, 7/7 19:00 - 20:00, 7/11 7:00 - 8:00, 7/13 19:00 - 20:00, 7/14 20:00 - 21:00, 7/10 19:00 - 20:00, 7/4 10:00 - 11:00, 7/10 7:00 - 8:00, 7/14 10:00 - 11:00, 7/2 10:00 - 11:00, 7/6 11:00 - 12:00"
